,RSI,close,ma10,atr,adx,extent,volume(m)
AHT.L,1.52,157.27,154.41,5.14,19.56,0.56,0.049907
FERG.L,1.31,2191.12,2188.99,51.58,58.31,0.04,0.050231
AAL.L,1.27,1487.18,1508.43,56.18,39.46,-0.38,1.667451
PSN.L,1.23,240.5,238.85,4.36,83.35,0.38,0.017119
HSX.L,1.22,200.85,191.59,11.84,64.05,0.78,0.069705
RTO.L,1.2,220.0,237.13,18.41,22.74,-0.93,2.712772
PHNX.L,1.18,579.71,548.28,12.23,50.59,2.57,0.010731
RMV.L,1.16,39.22,39.33,1.81,76.59,-0.06,226.09265
RDSA.L,1.12,2598.0,2436.55,68.54,38.92,2.36,4.773203
DGE.L,1.1,3382.0,3395.95,63.9,37.51,-0.22,4.522127
CRH.L,1.09,1613.35,1642.66,73.74,44.28,-0.4,1.080441
